gene,drug,n,spearman
CCDC101,AZD_200nM,149,0.2879521131870125
CUL3,PLX_2uM,154,0.4091098022786828
NF2,PLX_2uM,223,0.4309066433505895
NF1,PLX_2uM,736,0.4313331703987122
CD15,nodrug,273,0.4851000759652541
CD28,nodrug,74,0.48670862643465373
MED12,PLX_2uM,924,0.5179156435494464
HPRT1,6TG_2ug/mL,64,0.5195054945054944
MED12,AZD_200nM,924,0.5271128414790387
THY1,nodrug,62,0.5308604668731586
CD43,nodrug,145,0.5604689800707092
CD13,nodrug,455,0.5667956282804189
CD45,nodrug,266,0.5734838474179937
H2-K,nodrug,169,0.575349311322162
TADA2B,AZD_200nM,190,0.5774269880635272
CD33,nodrug,154,0.5804977748531234
TADA1,AZD_200nM,109,0.5980632008154945
CD5,nodrug,239,0.6080491192292815
