gene,drug,n,spearman
CCDC101,AZD_200nM,149,0.34672954834028663
NF2,PLX_2uM,223,0.40298686739269696
CUL3,PLX_2uM,154,0.42510822510822516
TADA2B,AZD_200nM,190,0.4262287481356096
NF1,PLX_2uM,736,0.43380358632745764
H2-K,nodrug,169,0.4577221421112824
CD33,nodrug,154,0.4951081788363113
THY1,nodrug,62,0.5071390798519302
MED12,PLX_2uM,924,0.522897810221754
MED12,AZD_200nM,924,0.5324456890654075
CD13,nodrug,455,0.5344042637521065
CD15,nodrug,273,0.5532765323984731
CD43,nodrug,145,0.5536663344500602
CD45,nodrug,266,0.5563332754187781
CD28,nodrug,74,0.5649907441688263
HPRT1,6TG_2ug/mL,64,0.5870421245421245
TADA1,AZD_200nM,109,0.6112037809285517
CD5,nodrug,239,0.6204133117682219
