index_30mer,position_label,region,attention_weight,attention_sem,gbt_positional_importance
0,-4,5' context,0.0074340245,0.00031073730207330057,0.009763668220298859
1,-3,5' context,0.007054234,0.00029120145679480206,0.004992062648384364
2,-2,5' context,0.0070794285,0.00033895410666614123,0.008229250693838739
3,-1,5' context,0.01146162,0.0005091202604034292,0.0
4,1,protospacer,0.0059863473,0.0002449818114364132,0.006188188791877063
5,2,protospacer,0.011922577,0.0004714073738391177,0.02585275805715633
6,3,protospacer,0.0201852,0.0007940403721898905,0.026714961874052045
7,4,protospacer,0.009728871,0.00040626490815409043,0.01230676865562231
8,5,protospacer,0.0070582037,0.0002931016601447211,0.0035491144302099292
9,6,protospacer,0.012505836,0.0006116457241613873,0.0
10,7,protospacer,0.017861208,0.0007771750690938425,0.0
11,8,protospacer,0.015756136,0.0006125205776011318,0.006413260854863214
12,9,protospacer,0.038951248,0.0016436198751121364,0.0026601906903032683
13,10,protospacer,0.028527625,0.0010295238767259677,0.014181860277484151
14,11,protospacer,0.03396516,0.0012737684665402682,0.015205435004977732
15,12,protospacer,0.053502254,0.00202373345430338,0.051546997713556524
16,13,protospacer,0.039483957,0.0017558362732656573,0.0
17,14,protospacer,0.07235746,0.0024275035040811944,0.07116137115085731
18,15,protospacer,0.02920415,0.0010509694526138855,0.0
19,16,protospacer,0.032874305,0.0014935637123995216,0.08875538520339935
20,17,seed,0.050296072,0.0016212891198325607,0.10284644704771932
21,18,seed,0.03825401,0.0014699022214606384,0.02212065569287628
22,19,seed,0.0676357,0.0022493416976448193,0.1483578730312994
23,20,seed,0.08560094,0.0020652659161854462,0.274982908390916
24,N,PAM,0.14109805,0.003012037271979758,0.023470115441022472
25,G,PAM,0.07104812,0.002008092318478935,0.0
26,G,PAM,0.040572256,0.0011774206033511219,0.0
27,+1,3' context,0.008745675,0.0003179266747812626,0.07572363636202319
28,+2,3' context,0.013902692,0.0004839146688319979,0.0024133433334877605
29,+3,3' context,0.019946553,0.00044889842457721115,0.0025637464337744443
